Testing Data Season,None,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
9to10,0.9375,-0.03427000000000002,-0.03427000000000002,-0.03427000000000002,-0.03427000000000002,-0.03427000000000002,0.0,-0.03427000000000002,-0.03427000000000002,0.0,0.0,0.0,0.0,0.0,-0.03427000000000002,-0.03427000000000002,0.0,0.0,-0.14961999999999998,-0.03427000000000002,-0.03427000000000002,-0.03427000000000002
10to11,0.90323,-0.054750000000000076,-0.054750000000000076,0.0,0.0,0.0,0.0,-0.054750000000000076,-0.054750000000000076,0.0,0.0,-0.054750000000000076,0.0,0.0,-0.054750000000000076,-0.054750000000000076,0.0,-0.054750000000000076,-0.3432299999999999,0.0,0.0,-0.054750000000000076
11to12,0.9142899999999999,-0.09377999999999986,-0.17745,0.0,-0.09377999999999986,0.0,0.0,0.0,0.0,-0.09377999999999986,0.0,0.0,-0.09377999999999986,0.0,0.0,0.0,0.0,-0.09377999999999986,-0.15752999999999995,0.0,0.0,-0.09377999999999986
12to13,0.85714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06925999999999999,0.0,0.0,0.0
13to14,0.8484799999999999,-0.059009999999999896,-0.09171999999999991,-0.059009999999999896,-0.024950000000000028,-0.059009999999999896,0.0265200000000001,0.0265200000000001,-0.059009999999999896,0.0,0.0,-0.059009999999999896,0.0,0.0,0.0,0.0,0.0,-0.059009999999999896,-0.13879999999999992,0.0,0.0,0.0265200000000001
14to15,0.8235299999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03564999999999985,0.0,0.0,0.0,0.0,0.0,0.0,-0.12082999999999988,0.0,0.0,0.0
15to16,0.78788,0.0,-0.1725,-0.013690000000000091,-0.013690000000000091,-0.1725,0.10866999999999993,-0.17676999999999998,0.06925999999999999,-0.17676999999999998,-0.17676999999999998,0.01212000000000002,-0.21645000000000003,-0.13788,-0.1725,0.024619999999999975,-0.023170000000000024,-0.13923000000000008,-0.1725,-0.20893000000000006,-0.21645000000000003,-0.17676999999999998
16to17,0.8484799999999999,-0.12625999999999993,-0.024950000000000028,-0.0359799999999999,-0.060599999999999876,-0.12625999999999993,-0.060599999999999876,-0.060599999999999876,-0.0359799999999999,-0.060599999999999876,-0.09171999999999991,-0.024950000000000028,-0.024950000000000028,-0.060599999999999876,-0.060599999999999876,-0.060599999999999876,-0.12625999999999993,-0.060599999999999876,-0.14847999999999995,-0.09171999999999991,-0.024950000000000028,-0.12625999999999993
17to18,0.7619,-0.06423000000000001,-0.03463000000000005,-0.06625000000000003,-0.03018999999999994,-0.04761000000000004,-0.09523000000000004,-0.06625000000000003,-0.017710000000000004,-0.043950000000000045,-0.11073999999999995,-0.03463000000000005,-0.09523000000000004,-0.06423000000000001,-0.06423000000000001,-0.09523000000000004,-0.011900000000000022,-0.07896999999999998,-0.7619,-0.06625000000000003,-0.043950000000000045,-0.03018999999999994
Average Difference, ,-0.048,-0.066,-0.023,-0.029,-0.049,-0.002,-0.041,-0.015,-0.042,-0.042,-0.022,-0.048,-0.029,-0.043,-0.024,-0.018,-0.054,-0.229,-0.045,-0.036,-0.054
