Season,Team,Player,Salary
2017-18,Atlanta Hawks,Kent Bazemore,16910113
2017-18,Atlanta Hawks,Dennis Schroder,15500000
2017-18,Atlanta Hawks,Miles Plumlee,12500000
2017-18,Atlanta Hawks,Jamal Crawford,10942762
2017-18,Atlanta Hawks,Marco Belinelli,6306060
2017-18,Atlanta Hawks,Dewayne Dedmon,6000000
2017-18,Atlanta Hawks,Ersan Ilyasova,6000000
2017-18,Atlanta Hawks,Mike Muscala,5000000
2017-18,Atlanta Hawks,Richard Jefferson,2500000
2017-18,Atlanta Hawks,Malcolm Delaney,2500000
2017-18,Atlanta Hawks,Taurean Waller-Prince,2422560
2017-18,Atlanta Hawks,John Collins,1936920
2017-18,Atlanta Hawks,Mike Dunleavy,1662500
2017-18,Atlanta Hawks,DeAndre' Bembry,1567200
2017-18,Atlanta Hawks,Nicolas Brussino,1312611
2017-18,Atlanta Hawks,Diamond Stone,1312611
2017-18,Atlanta Hawks,Sheldon Mac,1312611
2017-18,Atlanta Hawks,Okaro White,1312611
2017-18,Atlanta Hawks,Isaiah Taylor,1312611
2017-18,Atlanta Hawks,Tyler Dorsey,815615
2017-18,Atlanta Hawks,Tyler Cavanaugh,679919
2017-18,Atlanta Hawks,Jeremy Evans,104059
2017-18,Atlanta Hawks,Quinn Cook,100000
2017-18,Atlanta Hawks,Jaylen Morris,92160
2017-18,Atlanta Hawks,Antonius Cleveland,92160
2017-18,Atlanta Hawks,Damion Lee,92160
2017-18,Atlanta Hawks,Tyler Cavanaugh,50000
2017-18,Atlanta Hawks,Jeremy Evans,50000
2017-18,Atlanta Hawks,DeAndre Liggins,26773
2017-18,Boston Celtics,Gordon Hayward,29727900
2017-18,Boston Celtics,Al Horford,27734405
2017-18,Boston Celtics,Kyrie Irving,18868625
2017-18,Boston Celtics,Jayson Tatum,5645400
2017-18,Boston Celtics,Marcus Morris,5000000
2017-18,Boston Celtics,Greg Monroe,5000000
2017-18,Boston Celtics,Jaylen Brown,4956480
2017-18,Boston Celtics,Marcus Smart,4538020
2017-18,Boston Celtics,Aron Baynes,4328000
2017-18,Boston Celtics,Guerschon Yabusele,2247480
2017-18,Boston Celtics,Terry Rozier,1988520
2017-18,Boston Celtics,Shane Larkin,1524305
2017-18,Boston Celtics,Semi Ojeleye,1291892
2017-18,Boston Celtics,Abdel Nader,1167333
2017-18,Boston Celtics,Daniel Theis,815615
2017-18,Boston Celtics,Demetrius Jackson,92858
2017-18,Boston Celtics,Jarell Eddie,83129
2017-18,Boston Celtics,Xavier Silas,74159
2017-18,Brooklyn Nets,Allen Crabbe,19332500
2017-18,Brooklyn Nets,Timofey Mozgov,15280000
2017-18,Brooklyn Nets,DeMarre Carroll,14800000
2017-18,Brooklyn Nets,Jeremy Lin,12000000
2017-18,Brooklyn Nets,D'Angelo Russell,5562360
2017-18,Brooklyn Nets,Deron Williams,5500000
2017-18,Brooklyn Nets,Jahlil Okafor,4995120
2017-18,Brooklyn Nets,Nik Stauskas,3807146
2017-18,Brooklyn Nets,Dante Cunningham,2300000
2017-18,Brooklyn Nets,Jarrett Allen,1713720
2017-18,Brooklyn Nets,Quincy Acy,1709538
2017-18,Brooklyn Nets,Caris LeVert,1632480
2017-18,Brooklyn Nets,Sean Kilpatrick,1524305
2017-18,Brooklyn Nets,Spencer Dinwiddie,1524305
2017-18,Brooklyn Nets,Joe Harris,1524305
2017-18,Brooklyn Nets,Rondae Hollis-Jefferson,1471382
2017-18,Brooklyn Nets,Isaiah Whitehead,1312611
2017-18,Brooklyn Nets,Yakuba Ouattara,50000
2017-18,Charlotte Hornets,Dwight Howard,23500000
2017-18,Charlotte Hornets,Nicolas Batum,22434783
2017-18,Charlotte Hornets,Marvin Williams,13168750
2017-18,Charlotte Hornets,Michael Kidd-Gilchrist,13000000
2017-18,Charlotte Hornets,Cody Zeller,12584270
2017-18,Charlotte Hornets,Kemba Walker,12000000
2017-18,Charlotte Hornets,Jeremy Lamb,7000000
2017-18,Charlotte Hornets,Malik Monk,2904480
2017-18,Charlotte Hornets,Frank Kaminsky,2847600
2017-18,Charlotte Hornets,Michael Carter-Williams,2700000
2017-18,Charlotte Hornets,Julyan Stone,1524305
2017-18,Charlotte Hornets,Willy Hernangomez,1435750
2017-18,Charlotte Hornets,Treveon Graham,1312611
2017-18,Charlotte Hornets,Dwayne Bacon,815615
2017-18,Chicago Bulls,Dwyane Wade,15550000
2017-18,Chicago Bulls,Robin Lopez,13788500
2017-18,Chicago Bulls,Omer Asik,10595505
2017-18,Chicago Bulls,Cristiano Felicio,7843500
2017-18,Chicago Bulls,Justin Holiday,4615385
2017-18,Chicago Bulls,Kris Dunn,4046760
2017-18,Chicago Bulls,Quincy Pondexter,3853931
2017-18,Chicago Bulls,Lauri Markkanen,3821640
2017-18,Chicago Bulls,Noah Vonleh,3505233
2017-18,Chicago Bulls,Zach LaVine,3202217
2017-18,Chicago Bulls,Rajon Rondo,3000000
2017-18,Chicago Bulls,Cameron Payne,2203440
2017-18,Chicago Bulls,Denzel Valentine,2186400
2017-18,Chicago Bulls,Tony Allen,2116955
2017-18,Chicago Bulls,Jerian Grant,1713840
2017-18,Chicago Bulls,Willie Reed,1577230
2017-18,Chicago Bulls,Bobby Portis,1516320
2017-18,Chicago Bulls,Paul Zipser,1312611
2017-18,Chicago Bulls,David Nwaba,1312611
2017-18,Chicago Bulls,Kay Felder,1312611
2017-18,Chicago Bulls,Isaiah Canaan,200000
2017-18,Chicago Bulls,Jarell Eddie,83129
2017-18,Chicago Bulls,Diamond Stone,50000
2017-18,Chicago Bulls,Jarell Eddie,17224
2017-18,Cleveland Cavaliers,LeBron James,33285709
2017-18,Cleveland Cavaliers,Kevin Love,22642350
2017-18,Cleveland Cavaliers,George Hill,20000000
2017-18,Cleveland Cavaliers,Tristan Thompson,16400000
2017-18,Cleveland Cavaliers,J.R. Smith,13760000
2017-18,Cleveland Cavaliers,Jordan Clarkson,11562500
2017-18,Cleveland Cavaliers,Kyle Korver,7000000
2017-18,Cleveland Cavaliers,Cedi Osman,2642857
2017-18,Cleveland Cavaliers,Rodney Hood,2386864
2017-18,Cleveland Cavaliers,Jose Calderon,2328652
2017-18,Cleveland Cavaliers,Jeff Green,2116955
2017-18,Cleveland Cavaliers,Ante Zizic,1645200
2017-18,Cleveland Cavaliers,Larry Nance,1471382
2017-18,Cleveland Cavaliers,Okaro White,74159
2017-18,Cleveland Cavaliers,Marcus Thornton,46080
2017-18,Dallas Mavericks,Harrison Barnes,23112004
2017-18,Dallas Mavericks,Wesley Matthews,17884176
2017-18,Dallas Mavericks,Dwight Powell,9003125
2017-18,Dallas Mavericks,Josh McRoberts,6021175
2017-18,Dallas Mavericks,Dirk Nowitzki,5000000
2017-18,Dallas Mavericks,Nerlens Noel,4187599
2017-18,Dallas Mavericks,J.J. Barea,3903900
2017-18,Dallas Mavericks,Doug McDermott,3294994
2017-18,Dallas Mavericks,Dennis Smith,3218280
2017-18,Dallas Mavericks,Seth Curry,3028410
2017-18,Dallas Mavericks,Jeff Withey,1577320
2017-18,Dallas Mavericks,Salah Mejri,1471382
2017-18,Dallas Mavericks,Dorian Finney-Smith,1312611
2017-18,Dallas Mavericks,Yogi Ferrell,1312611
2017-18,Dallas Mavericks,Maxi Kleber,815615
