Season,Team,Salary Cap,Total Salary
2008-09,Atlanta Hawks,58680000,68168841
2008-09,Boston Celtics,58680000,79188973
2008-09,Charlotte Bobcats,58680000,62866926
2008-09,Chicago Bulls,58680000,68126774
2008-09,Cleveland Cavaliers,58680000,91298233
2008-09,Dallas Mavericks,58680000,95045559
2008-09,Denver Nuggets,58680000,70121003
2008-09,Detroit Pistons,58680000,71434174
2008-09,Golden State Warriors,58680000,67416431
2008-09,Houston Rockets,58680000,73302272
2008-09,Indiana Pacers,58680000,69668818
2008-09,Los Angeles Clippers,58680000,62764206
2008-09,Los Angeles Lakers,58680000,78245793
2008-09,Memphis Grizzlies,58680000,55958148
2008-09,Miami Heat,58680000,70297059
2008-09,Milwaukee Bucks,58680000,71360656
2008-09,Minnesota Timberwolves,58680000,66445144
2008-09,New Jersey Nets,58680000,62666523
2008-09,New Orleans Hornets,58680000,67530808
2008-09,New York Knicks,58680000,96643646
2008-09,Oklahoma City Thunder,58680000,68341605
2008-09,Orlando Magic,58680000,69672979
2008-09,Philadelphia 76ers,58680000,68301007
2008-09,Phoenix Suns,58680000,76130408
2008-09,Portland Trailblazers,58680000,80260059
2008-09,Sacramento Kings,58680000,69204512
2008-09,San Antonio Spurs,58680000,68020487
2008-09,Toronto Raptors,58680000,73446970
2008-09,Utah Jazz,58680000,65841407
2008-09,Washington Wizards,58680000,70743317
2009-10,Atlanta Hawks,57700000,65883642
2009-10,Boston Celtics,57700000,83552174
2009-10,Charlotte Bobcats,57700000,68681758
2009-10,Chicago Bulls,57700000,69700359
2009-10,Cleveland Cavaliers,57700000,83398534
2009-10,Dallas Mavericks,57700000,88916075
2009-10,Denver Nuggets,57700000,74935538
2009-10,Detroit Pistons,57700000,60185833
2009-10,Golden State Warriors,57700000,65352372
2009-10,Houston Rockets,57700000,69095315
2009-10,Indiana Pacers,57700000,66733257
2009-10,Los Angeles Clippers,57700000,61616409
2009-10,Los Angeles Lakers,57700000,91378064
2009-10,Memphis Grizzlies,57700000,57287474
2009-10,Miami Heat,57700000,74208013
2009-10,Milwaukee Bucks,57700000,66775602
