Rk,Team,Age,MOV,SOS,Pace,Attend./G
1,Chicago Bulls,27.1,8.18,-0.76,89.1,22161
2,San Antonio Spurs,27.5,7.17,0.11,92.9,18397
3,Oklahoma City Thunder,25.1,6.12,0.32,93,18203
4,Miami Heat,28.3,5.98,-0.27,91.2,19935
5,Philadelphia 76ers,24.9,4.24,-0.65,89.7,17503
6,Denver Nuggets,26.6,2.88,0.29,94.2,17029
7,Los Angeles Clippers,27.3,2.56,0.26,89.2,19219
8,Atlanta Hawks,27.9,3.44,-0.77,90.2,15200
9,Indiana Pacers,26.3,3.3,-0.71,90.7,14169
10,Memphis Grizzlies,25.6,2.02,0.42,90.8,15710
11,New York Knicks,26.3,3.2,-0.81,93.2,19763
12,Boston Celtics,29.3,2.52,-0.26,90.4,18624
13,Los Angeles Lakers,29.7,1.42,0.54,90.5,18997
14,Dallas Mavericks,31.3,0.95,0.83,91.4,20335
15,Utah Jazz,25.6,0.62,0.3,91.4,19307
16,Houston Rockets,26.2,0.23,0.35,91.7,15363
17,Orlando Magic,27.5,0.79,-0.33,89,18897
18,Phoenix Suns,28.9,-0.24,0.53,92.6,15598
19,Portland Trail Blazers,27.5,-0.62,0.41,91.2,20496
20,Milwaukee Bucks,26.2,0.27,-0.5,93.7,14719
21,Minnesota Timberwolves,24.4,-2.2,0.37,93.3,17491
22,Golden State Warriors,25.3,-3.41,0.62,92.3,18858
23,New Orleans Pelicans,25.5,-3.76,0.65,88.3,15110
24,Toronto Raptors,25.7,-3.3,-0.36,89.3,16836
25,Sacramento Kings,24.3,-5.68,0.73,94.7,14508
26,Washington Wizards,24.2,-4.8,-0.34,92.5,16728
27,Detroit Pistons,26.3,-4.79,-0.4,89.2,14413
28,Brooklyn Nets,26.1,-5.98,-0.39,90.1,13961
29,Cleveland Cavaliers,26,-7.2,-0.14,91.3,15927
30,Charlotte Hornets,24.5,-13.91,-0.05,91.1,14757
