Rk,Team,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,Playoff
1,Los Angeles Clippers,39.1,82.5,8.5,24,30.7,58.5,21.2,29.1,10.5,32.5,24.6,8.6,4.8,13.9,21.5,107.9,Y
2,Houston Rockets,38,80.5,9.5,26.6,28.5,54,22.1,31.1,11.2,34.1,21.4,7.6,5.6,16.1,20.4,107.7,Y
3,Minnesota Timberwolves,38.9,87.5,7.3,21.4,31.6,66.1,21.8,28.1,12.5,32.2,23.9,8.8,3.6,13.9,18.3,106.9,N
4,Portland Trail Blazers,39.1,87,9.4,25.3,29.7,61.7,19.1,23.5,12.5,34,23.2,5.5,4.7,13.7,19.2,106.7,Y
5,Oklahoma City Thunder,39,82.7,8.1,22.4,30.9,60.3,20.2,25,10.8,33.9,21.9,8.3,6.1,15.3,22.7,106.2,Y
6,San Antonio Spurs,40.6,83.5,8.5,21.4,32,62,15.7,20,9.3,34,25.2,7.4,5.1,14.4,18.2,105.4,Y
7,Phoenix Suns,38.7,83.5,9.3,25.1,29.4,58.4,18.5,24.4,11.3,31.7,19.1,8.4,4.6,15.3,21.9,105.2,N
8,Dallas Mavericks,39.6,83.6,8.8,22.9,30.8,60.7,16.8,21.1,10.2,30.7,23.6,8.6,4.3,13.5,20,104.8,Y
9,Denver Nuggets,38.4,85.9,8.6,23.9,29.8,62,19.1,26.3,12.3,33.1,22.4,7.5,5.6,15.9,23,104.4,N
10,Golden State Warriors,39.5,85.4,9.4,24.8,30,60.6,15.9,21.1,10.9,34.4,23.3,7.8,5,15.2,21.8,104.3,Y
11,Los Angeles Lakers,38.3,85.1,9.4,24.8,28.8,60.3,17,22.4,9.1,32,24.5,7.5,5.4,15.1,19.8,103,N
12,Miami Heat,38.3,76.5,8.1,22.3,30.2,54.2,17.5,23,7.6,29.2,22.5,8.9,4.5,14.8,19.5,102.2,Y
13,Toronto Raptors,36.5,81.9,8.7,23.4,27.8,58.5,19.6,25.1,11.4,31.1,21.2,7,4.2,14.1,23,101.3,Y
14,Detroit Pistons,38.8,86.9,6.2,19.3,32.6,67.6,17.3,25.7,14.6,30.8,20.9,8.4,4.8,14.5,20.3,101,N
15,Atlanta Hawks,37.3,81.6,9.4,25.8,28,55.8,17,21.7,8.7,31.3,24.9,8.3,4,15.3,19.2,101,Y
16,Washington Wizards,38.7,84.4,7.9,20.8,30.9,63.6,15.3,20.9,10.8,31.4,23.3,8.1,4.6,14.7,20.4,100.7,Y
17,Sacramento Kings,36.9,82.5,6,18,30.9,64.5,20.7,27.3,12.1,32.4,18.9,7.2,3.9,15.2,22.5,100.5,N
18,New Orleans Pelicans,37.8,82.5,5.9,15.9,31.9,66.6,18.2,23.6,11.4,30.3,21.3,7.9,6.4,13.8,22.6,99.7,N
19,Philadelphia 76ers,37.9,87.2,7,22.5,30.9,64.7,16.6,23.4,11.6,31.2,21.8,9.3,4,16.9,22.5,99.5,N
20,New York Knicks,36.9,82.2,9.3,24.9,27.7,57.3,15.5,20.4,10.6,29.7,20,7.7,4.5,13,22.1,98.6,N
21,Brooklyn Nets,35.7,77.9,8.6,23.4,27.1,54.5,18.4,24.4,8.8,29.4,20.9,8.6,3.8,14.5,21.7,98.5,Y
22,Cleveland Cavaliers,37,84.8,7.1,20,29.9,64.8,17,22.7,12.1,32.1,21.2,7.1,3.7,14.2,20,98.2,N
23,Charlotte Hornets,36.3,82.1,6.3,17.9,30,64.1,18,24.4,9.5,33.2,21.7,6.1,5.1,12.3,18.2,96.9,Y
24,Indiana Pacers,36,80.2,6.7,18.8,29.3,61.4,18.1,23.3,10.2,34.5,20.1,6.7,5.4,15.1,20.4,96.7,Y
25,Orlando Magic,36.9,82.7,6.9,19.5,30,63.3,15.9,20.9,9.7,32.4,21,7.7,4.3,14.9,20.5,96.5,N
26,Boston Celtics,36.5,83.9,7,21.1,29.5,62.9,16.2,20.8,12,30.5,21,7.1,4.2,15.4,21.3,96.2,N
27,Memphis Grizzlies,38.1,82,4.9,14,33.1,68,15.1,20.3,11.6,30.8,21.9,7.7,4.6,13.7,19.1,96.1,Y
28,Milwaukee Bucks,36,82.2,6.7,18.9,29.3,63.2,16.8,22.5,11.8,29.3,21.5,6.6,4.9,15.1,20.9,95.5,N
29,Utah Jazz,36,81.1,6.6,19.2,29.4,61.9,16.4,22,11,30.2,20.3,7,4.5,14.6,20.7,95,N
30,Chicago Bulls,34.7,80.2,6.2,17.8,28.5,62.4,18.1,23.3,11.4,32.7,22.7,7.2,5.2,14.9,19.1,93.7,Y
