Rk,Team,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,Playoff
1,Phoenix Suns,40.7,82.8,8.9,21.6,31.8,61.2,19.9,25.8,11.1,31.9,23.3,5.8,5.1,14.8,20.9,110.2,Y
2,Golden State Warriors,40.6,86.5,7.7,20.6,32.9,65.9,19.9,25.4,9.2,29.2,22.4,9.3,4.1,14.7,23,108.8,N
3,Denver Nuggets,38.1,81.4,6.6,18.5,31.5,62.9,23.6,30.6,10.8,30.5,21,8.3,5.1,13.9,22.5,106.5,Y
4,Utah Jazz,39.4,80.2,5.4,14.7,34,65.5,20.2,27.2,10.6,31.6,26.7,8.2,4.9,15.2,22.7,104.2,Y
5,Toronto Raptors,39,80.9,6.3,17,32.7,63.8,19.7,25.8,9.8,30.6,22,5.7,4.7,13.4,22.2,104.1,N
6,Orlando Magic,36.6,78,10.3,27.3,26.4,50.6,19.2,26.5,9.9,33.4,19.7,6.2,5.6,14.1,19.9,102.8,Y
7,Memphis Grizzlies,39.3,83.8,4.2,12.4,35.1,71.4,19.7,26.9,13,30.4,18.8,7.9,4.9,15.2,20.2,102.5,N
8,Houston Rockets,37.7,84.4,7.9,22.4,29.9,62,19,24.7,11.8,30.1,21.8,7.1,3.9,14.5,20.9,102.4,N
9,Cleveland Cavaliers,37.8,77.9,7.3,19.3,30.5,58.6,19.1,26.6,9.6,32.8,22.4,6.9,5.2,13.9,19.4,102.1,Y
10,New York Knicks,38.1,83.9,9.1,26.2,29.1,57.7,16.8,21.5,10.2,30.2,21.6,7.1,3.7,14,20,102.1,N
11,Dallas Mavericks,38.3,82.4,6.8,18.3,31.5,64.2,18.6,22.8,10.2,31.5,23.4,7.6,5.5,12.9,19.1,102,Y
12,Los Angeles Lakers,38.3,83.8,6.5,19,31.9,64.8,18.5,24.2,11.9,32.5,21.1,7.5,4.9,13.4,19.4,101.7,Y
13,Atlanta Hawks,38.8,82.9,6.4,17.7,32.4,65.2,17.7,23.3,11.8,29.9,21.8,7.2,5,12,19.9,101.7,Y
14,Oklahoma City Thunder,37.4,80.8,5.1,15,32.3,65.9,21.7,27,11.7,31.8,20,8,5.9,15,21.3,101.5,Y
15,San Antonio Spurs,38.4,81.2,6.8,18.9,31.7,62.3,17.8,24,10.8,32,22.3,6.3,4.6,13.6,20.4,101.4,Y
16,Indiana Pacers,36.8,83.2,8,23.1,28.8,60.1,19.1,24.6,9.6,31.9,21.1,7.1,5.4,15,22.5,100.8,N
17,New Orleans Pelicans,38.8,83.4,7,19.2,31.8,64.3,15.8,20.3,10.4,29.9,22.3,7.6,3.7,13.5,19.6,100.2,N
18,Sacramento Kings,38.3,84.1,5.9,16.9,32.5,67.2,17.4,24,11.9,30.7,20.5,6.9,4.5,15,22.3,100,N
19,Boston Celtics,37.1,76.8,6.1,17.5,31,59.3,19,25.5,8.7,29.9,23.5,8.5,4.9,14.9,22.1,99.2,Y
20,Minnesota Timberwolves,37.9,84.4,4.9,14.4,33,70,17.5,23.5,11.7,31.2,19.8,7.3,3.7,16.3,20.7,98.2,N
21,Portland Trail Blazers,36.3,78.7,6,16.9,30.3,61.8,19.6,24.8,11.1,29.1,20.4,6.4,4.3,12.3,20.9,98.1,Y
22,Philadelphia 76ers,37.6,81.8,5.8,16.8,31.9,64.9,16.7,22,11.5,29.5,21,8.1,5.4,14.5,20.5,97.7,N
23,Milwaukee Bucks,37.2,85.3,7.9,22.1,29.3,63.2,15.4,20.4,11.8,31.2,21.2,7.1,4.7,13.2,22.2,97.7,Y
24,Chicago Bulls,37.6,83.2,4.3,13,33.3,70.2,18,23.9,11.4,33.1,20.8,6.5,5.8,14.3,20.1,97.5,Y
25,Miami Heat,36.4,79.5,6,17.4,30.4,62.1,17.7,23.5,10.7,31.1,18.9,7.4,5.6,13.2,20.9,96.5,Y
26,Washington Wizards,36.7,81.7,5.3,14.9,31.4,66.8,17.6,23.1,11.8,30,19,6,5.1,14.9,21.4,96.2,N
27,Los Angeles Clippers,36.6,80.5,5.9,17.8,30.7,62.7,16.6,22.8,11.3,30.5,22.1,6.5,5.7,15.7,19.3,95.7,N
28,Charlotte Hornets,34.9,76.9,5.6,16.2,29.2,60.7,20,26.6,10.5,30.4,20.2,7.7,5.4,15.7,19.5,95.3,Y
29,Detroit Pistons,35.9,80.5,4.6,14.5,31.3,66,17.7,24.4,12.8,27.3,19.4,7.3,3.8,13.4,22.2,94,N
30,Brooklyn Nets,34.3,79.9,4.6,14.5,29.7,65.5,19.2,24.6,10.9,28.8,18.8,7,4.8,14.4,20,92.4,N
